序号,型号,开机屏好,开机屏坏,不开机,废板-整机,备注
1,X900/乐max,45,45,45,45,"【备注一】不带屏当废板"
2,X820,45,45,45,45,详见备注一
3,X800/乐1pro,45,45,45,45,详见备注一
4,X720,45,45,45,45,详见备注一
5,X626,45,45,45,45,详见备注一
6,X625,45,45,45,45,详见备注一
7,X622,45,45,45,45,详见备注一
8,X621,45,45,45,45,详见备注一
9,X620pro/乐视2Pro,45,45,45,45,详见备注一
10,X620/乐视2,45,45,45,45,详见备注一
11,X600,35,35,35,35,详见备注一
12,X528,45,45,45,45,详见备注一
13,X520,45,45,45,45,详见备注一
14,X500/乐视1s,35,35,35,35,详见备注一
