【备注一】通用评估标准 ：未拆标、靓板、无水泡、无进水；折痕轻微水泡扣50，反常发黑水泡扣50。连体坏、进水、已拆标当损坏机处理。,,,,,,,,,
【备注二】功能机/老款标准 ：未拆标且成色好；能正常开机进系统测试，支架不流水、不脱胶割裂；如触摸坏当外壳坏，断线无背光当损坏，连体坏当损坏。,,,,,,,,,
【备注三】比例要求 ：要求正常通话比例。若比例不正常或指定单抽买板，按外单价格或另议。,,,,,,,,,
 国产屏/ 深板整机说明 ：末尾“点数系列”多为老款机型，后两列分别对应不开机与国产屏/整机回收价；其他机型第六列统一为“深板·整机”。 ,,,,,,,,,
================================================================================,,,,,,,,,
 系列,序号,型号,开机靓好,开机屏好碎壳,开机屏坏/外碎,开机屏坏,不开机,深板·整机/国产,备注
Reno系列,6,Reno (6+256),175,175,175,175,175,175,
Reno系列,7,Reno (6+128),175,175,175,175,175,175,
Reno系列,8,Reno十倍变焦,80,80,80,80,80,80,详见备注一
Reno系列,9,Reno6 (停用),175,175,175,175,175,175,详见备注一
R系列,1,R17全网高配,175,175,175,175,175,175,(PBEM00)三星屏
R系列,2,R17移动低配,175,175,175,175,175,175,PBET00
R系列,3,R17pro移动,175,175,175,175,175,175,PBDT00
R系列,4,R15高配,195,195,195,195,195,195,(PACM00)三星屏
R系列,5,R17pro,195,195,195,195,195,195,PACT00
R系列,6,R15梦境移动,185,185,185,185,185,185,PAAT00
R系列,1,R15梦境,185,185,185,185,185,185,PAAM00
R系列,2,R15,195,195,195,195,195,195,三星屏
R系列,3,R15x移动,185,185,185,185,185,185,PBCT10
R系列,4,R15x,185,185,185,185,185,185,(PBCM10)三星屏
R系列,5,R11splus,130,130,130,130,130,130,
R系列,6,R11splust,130,130,130,130,130,130,
R系列,1,R11plusk,130,130,130,130,130,130,
R系列,2,R11plust,130,130,130,130,130,130,
R系列,3,R11plus,130,130,130,130,130,130,
R系列,4,R11rust,130,130,130,130,130,130,三星屏
R系列,5,R11st,175,175,175,175,175,175,
R系列,6,R11s,175,175,175,175,175,175,三星屏
