系列,序号,型号,开机靓好,开机屏好碎壳,开机屏坏/外碎,开机屏坏,不开机,深板·整机,备注
iQOO系列,6,iqoo 9,220,220,220,220,220,220,没有屏幕扣100
iQOO系列,1,IQOO 8Pro,220,220,220,220,220,220,详见备注一
iQOO系列,2,IQOO 8,220,220,220,220,220,220,详见备注一
iQOO系列,3,iqoo 7(8+128),220,220,220,220,220,220,"三星屏硬屏，扣50元"
iQOO系列,4,iqoo 7(12+256),220,220,220,220,220,220,"见三星屏硬屏，扣50元"
iQOO系列,5,IQOO 5Pro,220,220,220,220,220,220,详见备注一
iQOO系列,6,iqoo 5,170,170,170,170,170,170,详见备注一
iQOO经典,1,iqoo 3 5G,170,170,170,170,170,170,三星屏
iQOO经典,2,IQOO 3 4G,170,170,170,170,170,170,三星屏
iQOO经典,3,IQOO,120,120,120,120,120,120,三星屏
iQOO经典,4,IQOO Pro,120,120,120,120,120,120,三星屏
iQOO经典,5,IQOO Pro 5G,120,120,120,120,120,120,三星屏
iQOO经典,6,IQOO Pro 4G,120,120,120,120,120,120,三星屏
iQOO Neo系列,1,iqoo Neo11至尊版 5G,1,1,1,1,1,1,
iQOO Neo系列,2,iqoo neo10 pro,550,400,400,400,150,150,
iQOO Neo系列,3,iqoo neo10,700,650,450,400,150,150,
iQOO Neo系列,4,iqoo Neo 10 Pro+,700,650,450,400,150,150,
iQOO Neo系列,5,iqoo neo9spro,350,300,300,300,100,100,
iQOO Neo系列,6,iqoo neo9pro,350,300,300,300,100,100,
iQOO Neo系列,1,iqoo neo9 pro+,350,300,300,300,100,100,
iQOO Neo系列,2,iqoo neo9,350,300,300,300,150,150,
iQOO Neo系列,3,IQOO NEO8 Pro,230,230,230,230,150,150,
iQOO Neo系列,4,IQOO NEO8,230,230,230,230,150,150,
iQOO Neo系列,5,IQOO NEO7,200,200,200,200,150,150,
iQOO Neo系列,6,IQOO NEO7 Pro,200,200,200,200,150,150,
iQOO Neo系列,1,IQOO NEO6 SE,190,190,190,190,150,150,
iQOO Neo系列,2,IQOO NEO6,175,175,175,175,120,120,
iQOO Neo系列,3,IQOO NEO5活力版,220,200,200,200,120,120,详见备注一
iQOO Neo系列,4,IQOO NEO5 SE,175,175,175,175,120,120,详见备注一
iQOO Neo系列,5,IQOO NEO5 S,175,175,175,175,120,120,见三星轻屏扣50元
iQOO Neo系列,6,IQOO NEO5,175,175,175,175,120,120,见三星轻屏扣50元
iQOO Neo系列,7,IQOO NEO3,160,160,160,160,160,140,详见备注一
iQOO Neo系列,8,IQOO NEO,100,100,100,100,100,100,三星屏
iQOO Z系列,1,IQOO Z11 Turbo+,750,550,550,550,150,150,
iQOO Z系列,2,IQOO Z11 x,320,280,280,280,150,150,
iQOO Z系列,3,IQOO Z11 Turbo,750,550,550,550,150,150,
iQOO Z系列,4,iQOO Z10 Turbo+,750,550,550,500,150,150,
iQOO Z系列,5,iQOO Z10 Turbo Pro,600,500,450,400,150,150,
iQOO Z系列,6,iQOO Z10 Turbo,500,450,350,300,150,150,
