序号,型号,开机屏好,开机屏坏,不开机,废板-整机,备注
1,W1,35,35,35,35,
2,先行者X1,100,50,50,50,
3,N5pro,120,120,120,120,
4,M821,20,20,20,20,
5,N5,30,30,30,30,
6,N3/M850,55,55,55,55,
7,761,30,30,30,30,
8,N2/M836,20,20,20,20,
9,M631,11,11,11,11,开机全好看外屏不破
10,A4s/M760,20,20,20,20,
11,A3s/M653,20,20,20,20,
12,M636,20,20,20,20,
13,M623,20,20,20,20,
14,M823,20,20,20,20,
15,M812,20,20,20,20,
16,M654,10,10,10,10,
17,M652,10,10,10,10,
18,M651,10,10,10,10,
